Town,Population,Income,Gini,Race,HouseholdSize,AgricultureEmployment,Liters,LitersCapita,TotalPopulationServed
Anderson,10025,17446,0.4157,86.08478803,2.55609383,2.794520548,314079463.4,28176.14276,11147
Arvin,19665,15043,0.3839,83.12738368,4.400313269,52.57817929,287729206.7,14036.25576,20499
Atascadero,28613,34100,0.414,89.22867228,2.596225388,1.2263938,584202716.4,18617.63333,31379
Atwater,28423,20428,0.4746,69.50357105,3.269266161,7.594681708,923262117.1,31297.02092,29500
Bakersfield,352918,24605,0.4458,65.51975246,3.210330022,10.30289646,4769492437,33316.28297,143158
Bella Vista,2611,20771,0.3285,92.99119111,2.872387239,0,1224846096,69518.47985,17619
Discovery Bay,13030,50033,0.4035,86.60015349,2.747785744,1.738410596,355828778.2,24024.62887,14811
Fairfield,106533,28871,0.411,47.45571795,3.122395146,1.527768671,2377239072,22105.62648,107540
Fillmore,15076,23557,0.4128,69.5741576,3.625781626,7.925937957,238276577.4,15653.43433,15222
Healdsburg,11356,29971,0.4595,73.70553012,2.569230769,6.486170627,218799615.4,18721.62363,11687
Kingsburg,11507,23306,0.4425,72.30381507,3.063631523,10.13824885,362869645.5,31054.31284,11685
Lamont,16239,16003,0.4079,79.64160355,4.673093525,46.05000767,425063973.5,21243.63904,20009
Lathrop,18630,23857,0.3474,50.91250671,4.204468517,1.730049875,452811047.3,22833.4954,19831
Livingston,13301,18447,0.3532,43.14713179,4.47694379,19.09638554,787521009,52860.85441,14898
Madera,61899,18698,0.4092,81.02231054,3.824703411,29.64642684,468418140.5,32697.06411,14326
Manteca,69168,26984,0.3797,71.98270877,3.101843132,2.109415195,1559510470,20715.58235,75282
Montecito,8992,40873,0.5664,93.49421708,2.817042607,0.389338125,519295273.5,38466.31656,13500
Monterey Park,60591,23121,0.4621,18.86583816,3.222239949,0.46537812,889950486.8,14311.79722,62183
Norco,27079,30411,0.3915,74.33804793,3.853016505,1.775825855,814837191.7,31471.83159,25891
Oakdale,20943,26016,0.4399,90.16377787,2.901898296,4.89394478,535938706.6,24377.4713,21985
Perris,69743,19729,0.3746,46.06340421,4.317115444,1.371015224,184735901.5,20526.21128,9000
Porterville,54534,20499,0.4432,77.01984083,3.321800573,12.97333062,1379461866,22268.78032,61946
Redding,90370,22194,0.4427,85.91678654,2.591997705,1.476595275,3148895417,34524.7121,91207
Ripon,14467,39386,0.4126,87.24683763,2.938058489,2.096370463,526751510.4,35316.89644,14915
Riverbank,22977,23445,0.3837,79.99303651,3.465088222,3.921568627,536521660.1,23028.6574,23298
Sanger,24393,18376,0.4219,65.83036117,3.683630323,12.19846202,692435231.6,26980.79924,25664
Shasta Lake,10135,21137,0.4357,85.13073508,2.543287327,2.351011482,234719425.2,22803.79143,10293
Vallejo,117079,27325,0.4324,40.99197977,2.875432866,1.00536193,1793165059,14461.00854,124000
Big Bear City,12147,20275,0.4459,88.76265745,2.502472188,2.712477396,133117211.2,10725.7442,12411
Corcoran,24043,16613,0.4421,64.98773032,6.838168373,21.99261993,673727722.8,27893.00832,24154
Newman,10401,19836,0.4101,84.86683973,3.502020202,5.848680936,264089305.5,24755.27798,10668
Coalinga,16609,24142,0.4477,62.50827864,3.498104465,12.22927862,489691742.5,29626.2171,16529
